return_type,parameter,releases_and_transfers,units
REM Return,Electricity Exported,*,GWh
REM Return,Heat Exported,*,GWh
REM Return,Mechanical Power Provided,*,GWh
REM Return,Fossil Fuel Energy Consumption,*,GWh
REM Return,Non-Fossil Fuel Consumption,*,GWh
REM Return,Annual Operating Hours,*,h
REM Return,Water Abstracted from Fresh Water Source,*,m3
REM Return,Water Abstracted from Borehole Source,*,m3
REM Return,Water Abstracted from Estuarine Water Source,*,m3
REM Return,Water Abstracted from Sea Water Source,*,m3
REM Return,Water Abstracted from Mains Water Source,*,m3
REM Return,Gross Total Water Used,*,m3
REM Return,Net Water Used,*,m3
REM Return,Haz Waste Transferred for Disposal at another Installation,*,t
REM Return,Haz Waste Transferred for Recovery at another Installation,*,t
REM Return,Non-Haz Waste Transferred for Disposal at another Installation,*,t
REM Return,Non-Haz Waste Transferred for Recovery at another Installation,*,t
REM Return,Waste Recovered to Quality Protocol and Transferred Off-Site,*,t
REM Return,Waste Transferred Directly Off-Site for Use under an exemption,*,t
Pollution Inventory,Alachlor,Air,g
Pollution Inventory,Alachlor,Air,kg
Pollution Inventory,Alachlor,Air,kt
Pollution Inventory,Alachlor,Air,mg
Pollution Inventory,Alachlor,Air,t
Pollution Inventory,Alachlor,Controlled Water,g
Pollution Inventory,Alachlor,Controlled Water,kg
Pollution Inventory,Alachlor,Controlled Water,kt
Pollution Inventory,Alachlor,Controlled Water,mg
Pollution Inventory,Alachlor,Controlled Water,t
Pollution Inventory,Alachlor,General,g
Pollution Inventory,Alachlor,General,kg
Pollution Inventory,Alachlor,General,kt
Pollution Inventory,Alachlor,General,mg
Pollution Inventory,Alachlor,General,t
Pollution Inventory,Alachlor,Land,g
Pollution Inventory,Alachlor,Land,kg
Pollution Inventory,Alachlor,Land,kt
Pollution Inventory,Alachlor,Land,mg
Pollution Inventory,Alachlor,Land,t
Pollution Inventory,Alachlor,Waste Overseas,g
Pollution Inventory,Alachlor,Waste Overseas,kg
Pollution Inventory,Alachlor,Waste Overseas,kt
Pollution Inventory,Alachlor,Waste Overseas,mg
Pollution Inventory,Alachlor,Waste Overseas,t
Pollution Inventory,Alachlor,Waste Transfer,g
Pollution Inventory,Alachlor,Waste Transfer,kg
Pollution Inventory,Alachlor,Waste Transfer,kt
Pollution Inventory,Alachlor,Waste Transfer,mg
Pollution Inventory,Alachlor,Waste Transfer,t
Pollution Inventory,Alachlor,Waste Water,g
Pollution Inventory,Alachlor,Waste Water,kg
Pollution Inventory,Alachlor,Waste Water,kt
Pollution Inventory,Alachlor,Waste Water,mg
Pollution Inventory,Alachlor,Waste Water,t
